heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
pugna,9.5,429,463,16041,10598,3089,2634,0,1
spirit_breaker,6.25,403,519,9611,11794,0,3965,3,1
naga_siren,13.0,887,631,11616,8622,3964,2051,0,1
tidehunter,14.0,488,468,7867,7046,5971,3694,0,0
snapfire,10.0,582,621,14038,6829,442,2677,2,0
enigma,17.0,292,370,6601,4930,195,721,6,9
medusa,11.0,747,711,12236,352,2872,1603,0,1
tiny,10.0,298,362,8800,9383,239,4172,3,0
terrorblade,0.43,442,401,6921,10732,1089,2710,1,0
windrunner,1.0,373,402,6102,7801,0,1051,2,1
shredder,0.4,409,430,3862,12968,191,1195,0,0
batrider,0.67,241,241,7765,10239,34,672,3,2
lion,0.75,241,278,3890,7802,39,400,4,2
bloodseeker,8.0,734,735,37958,22100,11654,7103,0,0
queenofpain,7.67,669,828,34504,18329,6315,5012,2,1
silencer,3.88,354,541,19180,12680,2190,6931,13,7
medusa,7.75,469,602,13359,1264,2624,3936,1,3
alchemist,4.67,557,597,13769,23579,5085,11913,0,1
lich,1.67,287,339,11757,22702,0,12561,6,6
doom_bringer,1.38,547,443,13326,27877,28,20016,0,1
terrorblade,3.2,749,755,23223,24037,3743,12784,0,0
techies,1.67,314,449,16007,18212,0,12183,5,2
windrunner,1.44,369,373,13639,25942,0,24414,3,0
medusa,6.0,798,780,11629,167,11435,1228,0,0
primal_beast,11.0,530,494,13111,7915,1955,2496,1,0
legion_commander,18.0,575,658,15309,7020,1173,4037,0,0
skywrath_mage,18.0,359,437,13136,4271,923,1137,2,1
undying,12.0,342,408,4891,6309,160,2873,8,5
elder_titan,0.33,203,249,5199,13692,0,2807,4,6
rubick,0.33,183,268,6076,6954,0,887,4,2
shredder,0.17,393,454,10144,14421,0,4020,2,1
drow_ranger,0.0,354,399,3005,11222,0,3392,0,0
meepo,0.5,395,363,1258,11787,596,717,0,0
magnataur,3.25,513,733,16548,30534,440,11320,2,0
medusa,4.83,776,1004,34761,6806,10833,13699,0,2
doom_bringer,2.08,587,559,16327,34824,303,17720,0,0
undying,7.17,478,720,17457,23926,122,13398,3,3
keeper_of_the_light,3.1,508,595,17948,22243,0,9417,9,1
axe,2.33,643,943,26937,24022,151,2260,0,1
skywrath_mage,1.43,278,285,14419,16064,0,646,3,2
monkey_king,2.67,664,761,33075,17536,1746,2617,2,0
antimage,2.5,473,521,24737,23357,648,1672,0,0
crystal_maiden,2.9,380,390,21365,22062,460,1149,9,4
medusa,11.0,663,682,9712,505,6235,149,0,0
beastmaster,9.5,565,476,9464,7262,2907,1119,0,0
ember_spirit,17.0,555,555,20658,13555,3015,1166,1,0
disruptor,7.0,361,415,9296,11953,827,1572,6,3
rattletrap,10.5,376,388,9957,13740,1130,964,3,1
terrorblade,1.75,503,442,4780,8182,0,1189,0,0
shredder,0.67,444,532,14137,11595,511,2678,1,0
doom_bringer,0.4,417,338,5568,15937,372,2497,0,0
clinkz,0.83,252,276,8095,10007,880,1932,4,3
techies,0.75,249,294,14435,13366,347,2354,6,2
broodmother,8.0,585,617,10453,8072,3988,1870,1,0
techies,3.33,302,357,9556,6257,629,656,2,2
ember_spirit,8.0,547,611,11754,4419,540,187,1,0
undying,5.0,276,377,7368,11682,489,2658,6,3
medusa,8.0,616,732,8835,494,2384,620,0,0
underlord,1.0,399,470,5468,10073,0,181,0,0
snapfire,0.83,382,367,9988,13474,0,1384,1,1
rubick,1.33,211,231,6078,7460,0,786,4,2
elder_titan,2.5,178,240,4090,7722,0,233,5,2
monkey_king,1.25,406,435,5300,9237,0,228,0,0
medusa,2.75,616,723,16785,9002,7135,1614,1,0
pangolier,6.33,530,633,18843,14641,1327,1327,0,0
leshrac,2.86,622,745,38387,23850,7318,1742,2,0
rattletrap,1.78,321,426,13701,20940,0,609,5,0
chen,7.0,397,434,13207,11783,3869,788,4,3
snapfire,4.5,620,759,23690,22941,469,4405,2,0
lion,2.38,320,385,8588,14233,0,1026,8,0
doom_bringer,2.4,700,766,14604,21183,85,3081,0,0
wisp,2.12,274,408,4903,18531,448,2623,6,1
faceless_void,8.5,735,851,28431,24035,749,6199,0,1
rubick,9.0,374,453,9481,6860,205,2551,10,4
faceless_void,12.0,650,913,14794,16457,4429,4866,1,0
broodmother,19.0,711,758,19100,17875,14139,3335,0,0
pugna,3.4,379,482,12542,11004,3045,2276,6,4
ember_spirit,7.67,574,631,28121,15078,2567,7349,0,0
mars,2.0,430,459,12914,20888,883,1630,0,0
storm_spirit,7.0,451,554,16878,16964,80,2228,1,0
undying,0.6,201,291,4463,25492,0,1899,12,8
medusa,0.6,666,731,21764,4993,65,3303,0,1
skywrath_mage,1.29,234,342,11255,15701,0,1489,3,1
lycan,19.0,558,621,21726,29690,1891,7873,0,1
snapfire,1.38,417,536,15723,30145,298,8532,1,1
rubick,1.33,251,368,10307,19820,36,8541,6,3
venomancer,1.45,268,266,18641,26376,147,4718,8,3
naga_siren,4.5,648,638,21668,38223,1894,11222,0,0
medusa,2.25,793,705,24504,3573,14960,2715,1,0
puck,24.0,680,878,33949,14033,3609,2101,2,1
batrider,1.5,330,427,11971,17630,0,7941,4,3
silencer,1.8,300,448,7612,9615,149,2053,12,3
shredder,7.33,816,973,66218,43214,1612,18164,0,0
wisp,1.6,407,347,6393,20820,0,2381,0,0
monkey_king,3.67,475,493,13849,17383,205,4248,0,0
windrunner,0.83,407,378,12069,13830,469,964,2,1
abaddon,1.0,201,321,5241,17203,0,948,5,2
skywrath_mage,1.67,226,280,8984,10633,0,253,4,2
bounty_hunter,5.0,352,384,8437,11999,255,5698,3,3
medusa,21.0,731,770,30152,2344,6713,3115,0,0
batrider,1.86,510,589,15494,12613,151,5211,0,0
disruptor,10.5,281,400,7064,6601,62,765,6,4
