heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
silencer,7.67,300,306,9984,8531,775,4970,8,3
terrorblade,10.0,740,677,35310,19033,18322,10584,0,1
underlord,5.0,499,558,8885,14445,4255,11401,14,0
techies,2.86,290,288,14522,12948,290,7144,7,2
tiny,20.0,539,556,18256,26555,2476,14026,1,0
monkey_king,2.0,559,615,16625,16888,139,7797,0,0
invoker,6.5,572,630,27615,18967,1891,8857,0,0
bounty_hunter,0.67,296,275,6483,18619,396,17059,0,0
skywrath_mage,1.8,244,284,18077,13186,193,8803,4,0
crystal_maiden,0.8,228,252,12712,19297,0,9316,10,2
shredder,20.0,582,605,23879,15708,1748,4508,3,1
dark_seer,18.0,561,571,8726,12942,1311,1966,0,1
terrorblade,15.0,746,651,16801,16275,19432,5281,0,4
batrider,4.5,391,389,8113,12216,439,2009,11,2
jakiro,4.67,345,416,6312,8501,3413,1456,1,2
sven,2.33,650,800,11366,15637,496,7367,0,1
tusk,0.71,431,485,10403,20611,0,5309,2,0
medusa,5.0,294,379,11949,1227,77,7716,8,8
shadow_demon,0.57,235,359,10974,14841,228,5828,5,2
underlord,0.8,321,348,20950,11515,0,6902,0,0
kunkka,0.33,418,436,9028,13939,106,2422,2,0
centaur,0.38,341,343,7704,19278,341,1712,0,0
rubick,0.43,222,247,13055,11889,231,1866,0,1
pugna,0.38,225,267,10021,9170,944,1396,10,4
terrorblade,0.6,441,474,9624,12119,676,1397,0,0
earth_spirit,28.0,527,620,26071,16720,251,5665,0,0
keeper_of_the_light,26.0,362,432,10095,7003,140,2235,4,3
faceless_void,12.0,567,663,8919,9259,562,1027,0,0
doom_bringer,14.0,781,810,11688,11011,400,4266,0,0
oracle,23.0,332,372,9622,5439,45,788,8,5
clinkz,2.0,311,349,11859,13761,0,8274,1,2
omniknight,1.67,384,359,6511,13030,162,9421,0,0
techies,2.0,389,469,14754,11401,66,4109,2,1
lone_druid,0.0,177,214,1210,5252,0,1516,0,0
crystal_maiden,0.86,210,241,6546,9572,0,3594,6,3
terrorblade,7.0,695,572,9276,6962,7807,1358,0,0
skywrath_mage,5.0,322,319,9212,6334,287,2213,0,2
lich,4.75,305,462,12526,8554,56,1801,6,2
pangolier,2.75,568,693,11404,9777,540,1720,3,0
beastmaster,18.0,664,598,10598,9253,1271,5638,0,0
lich,2.33,247,355,15581,14679,25,2524,14,5
slark,3.33,569,684,25910,39977,3152,5669,0,1
pangolier,2.17,490,531,20926,23240,668,2869,0,1
rubick,4.5,325,389,23577,11257,0,1584,6,1
beastmaster,3.25,421,473,16694,18737,675,3594,0,0
shredder,6.0,619,751,34510,34782,1316,9721,1,0
spirit_breaker,2.43,331,600,11081,22517,694,5230,4,0
techies,2.8,308,559,14890,12161,81,4287,15,7
dark_seer,3.75,422,498,9226,11212,380,2960,0,0
terrorblade,20.0,925,718,38183,22016,20422,5905,0,3
terrorblade,5.25,914,700,50253,19875,20655,4307,1,1
pangolier,5.33,628,794,32782,19580,935,5775,1,1
clinkz,7.0,508,685,29218,18096,6500,4987,3,2
pugna,1.86,381,511,25108,21108,3834,4277,18,11
doom_bringer,3.0,556,513,21791,28325,581,3918,0,0
nevermore,2.5,600,531,24766,30277,8993,5158,2,5
chaos_knight,3.8,641,682,28562,61040,8839,4773,0,1
rubick,4.0,341,443,15454,20673,700,3956,14,2
skywrath_mage,2.27,287,427,20290,21052,345,2380,8,2
magnataur,5.2,344,500,17912,26110,800,6174,0,0
doom_bringer,4.5,574,677,14497,20052,1752,2033,0,0
ember_spirit,7.67,568,738,41235,22398,2547,2962,2,1
keeper_of_the_light,1.8,332,406,13548,15426,0,1159,3,4
terrorblade,12.0,954,891,47032,23231,21655,1075,0,0
disruptor,3.29,320,494,9394,10478,320,247,12,7
ursa,2.5,582,662,24217,17950,1905,1448,0,0
storm_spirit,3.75,542,576,22228,24372,911,4386,1,0
centaur,2.8,510,503,10618,34820,3844,5941,0,0
undying,2.86,304,490,12808,32456,230,3931,11,4
techies,2.67,355,471,21714,16108,2102,4936,5,3
bristleback,3.5,682,798,17431,26945,4837,3025,0,1
dark_seer,3.33,574,664,24701,17291,275,4365,2,0
spirit_breaker,1.11,480,584,9703,35478,256,5696,0,0
clinkz,1.11,340,496,15548,16250,3294,4041,6,3
elder_titan,1.12,220,365,8861,18351,0,3614,10,2
techies,9.5,334,479,17329,9175,2136,3760,10,2
ember_spirit,11.0,575,748,27864,24490,1589,6299,2,2
enigma,3.33,388,417,17591,14290,1474,3201,7,2
beastmaster,11.0,513,681,12379,12353,4821,5801,0,2
terrorblade,21.0,869,860,39152,15936,13014,3897,0,1
undying,2.86,324,566,6024,25741,41,6041,18,4
sniper,4.0,578,601,30022,14953,5392,9948,2,1
techies,2.67,349,560,22460,19828,1012,5295,4,1
beastmaster,4.0,422,588,11063,25199,2052,10181,0,0
terrorblade,10.0,861,762,26294,27381,9794,8591,0,3
medusa,6.67,973,697,45310,2662,13007,8511,0,1
underlord,2.86,439,668,18779,28134,3602,10871,1,0
vengefulspirit,2.86,315,526,9926,17419,0,3209,17,3
batrider,7.0,709,893,28890,24869,0,3632,3,0
windrunner,2.67,312,386,10197,22779,1062,4968,5,0
undying,14.0,399,532,7137,10012,520,1514,4,2
storm_spirit,15.0,609,657,15029,12410,2429,2240,2,0
doom_bringer,16.0,725,702,6537,5850,48,2978,0,0
skywrath_mage,13.0,329,527,9287,5858,277,2500,6,1
alchemist,14.0,884,804,11606,4518,1574,250,0,0
pugna,0.2,238,263,10319,6829,1700,1463,4,0
ember_spirit,0.14,362,386,9103,12338,0,3758,0,0
rubick,0.33,233,267,9604,9657,0,2884,8,1
terrorblade,0.25,399,426,3184,9601,384,2769,0,0
broodmother,0.25,407,402,6438,11171,1799,1360,0,1
disruptor,10.0,353,599,19659,13650,186,4213,13,6
juggernaut,4.67,692,801,37715,34517,12742,7210,0,4
underlord,3.8,508,701,15949,32636,3090,14300,0,1
rubick,5.25,425,557,25428,21854,450,8190,9,4
windrunner,23.0,654,772,40579,26153,16736,8975,1,0
queenofpain,4.0,517,726,47347,34740,1506,10962,2,1
mirana,2.4,277,516,7892,19056,111,3284,13,1
mars,0.91,368,442,17849,40714,389,8915,0,0
phoenix,2.17,402,518,24016,18638,62,3997,9,3
terrorblade,4.67,804,636,31706,26182,9746,7607,0,0
